rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
1,380.0,0.55,0.4836415362731151,0.514344685242518,0.5689900426742531,0.7347781217750258,0.0,209.00000000000003,183.78378378378375,195.45098039215682,216.2162162162162,279.2156862745098,0.0,6,59.62216298380599,5.636426700490016,5.465148274155503,1513.5346918553628,True,c18629d6
2,380.0,0.55,0.467520151730678,0.514344685242518,0.5500237079184448,0.7347781217750258,0.0,209.00000000000003,177.65765765765764,195.45098039215682,209.00900900900902,279.2156862745098,0.0,6,59.48607863211714,5.618000345107447,5.422755479369474,1510.1909480096274,True,af6c107f
3,380.0,0.55,0.4513987671882408,0.5739212897107633,0.5310573731626362,0.6752015173067804,0.0,209.00000000000003,171.5315315315315,218.09009009009006,201.80180180180176,256.57657657657654,0.0,6,58.14034671938498,5.493304029145789,5.286515769615336,1500.7685072358784,True,57dad6e5
4,380.0,0.55,0.5630354957160342,0.7060259344012205,0.48959608323133413,0.5430968726163234,0.0,209.00000000000003,213.95348837209298,268.2898550724638,186.04651162790697,206.3768115942029,0.0,6,57.99003764134136,5.6033906931410575,5.473072510032201,1511.8007397557153,True,b597093e
5,380.0,0.55,0.47368421052631576,0.514344685242518,0.47368421052631576,0.7347781217750258,0.0,209.00000000000003,180.0,195.45098039215682,180.0,279.2156862745098,0.0,6,57.98653027312571,5.507395513204787,5.256877796539793,1499.984894951293,True,037f736a
6,380.0,0.55,0.49122807017543857,0.514344685242518,0.49122807017543857,0.7347781217750258,0.0,209.00000000000003,186.66666666666666,195.45098039215682,186.66666666666666,279.2156862745098,0.0,6,57.97029485078042,5.527371358139635,5.322491279452671,1502.2950714728213,True,194d8a23
7,380.0,0.55,0.5087719298245614,0.514344685242518,0.5087719298245614,0.7347781217750258,0.0,209.00000000000003,193.33333333333334,195.45098039215682,193.33333333333334,279.2156862745098,0.0,6,57.936671048082644,5.564949407745225,5.358982489108872,1506.372115206394,True,f26659b1
8,380.0,0.55,0.5263157894736842,0.514344685242518,0.5263157894736842,0.7347781217750258,0.0,209.00000000000003,200.0,195.45098039215682,200.0,279.2156862745098,0.0,6,57.77586781612308,5.66329230221813,5.51548659839617,1515.719872059586,True,4f915be4
9,380.0,0.55,0.5442676458588331,0.7060259344012205,0.4732762137902897,0.5430968726163234,0.0,209.00000000000003,206.8217054263566,268.2898550724638,179.84496124031008,206.3768115942029,0.0,6,57.682534524740504,5.597665019726235,5.468269876201718,1509.4298888395392,True,ea1ff9fd
10,380.0,0.55,0.5630354957160342,0.6681354549163606,0.48959608323133413,0.5809873521011831,0.0,209.00000000000003,213.95348837209298,253.89147286821702,186.04651162790697,220.77519379844958,0.0,6,57.1269451737769,5.612659479691274,5.475871302606478,1509.5093109949478,True,501f1d2b
11,380.0,0.55,0.5630354957160342,0.514344685242518,0.48959608323133413,0.7347781217750258,0.0,209.00000000000003,213.95348837209298,195.45098039215682,186.04651162790697,279.2156862745098,0.0,6,57.114732631441484,5.654155093918408,5.531554117292444,1512.188365308996,True,1e4e5b72
12,380.0,0.55,0.5442676458588331,0.514344685242518,0.4732762137902897,0.7347781217750258,0.0,209.00000000000003,206.8217054263566,195.45098039215682,179.84496124031008,279.2156862745098,0.0,6,56.952270793151456,5.640307308501546,5.4966460416387175,1509.7395731398037,True,6cb4ad89
13,380.0,0.55,0.4836415362731151,0.5739212897107633,0.5689900426742531,0.6752015173067804,0.0,209.00000000000003,183.78378378378375,218.09009009009006,216.2162162162162,256.57657657657654,0.0,6,56.87934420626834,5.657538225369229,5.514379518123969,1511.7034586457817,True,5cac2669
14,380.0,0.55,0.47368421052631576,0.7060259344012205,0.47368421052631576,0.5430968726163234,0.0,209.00000000000003,180.0,268.2898550724638,180.0,206.3768115942029,0.0,6,56.83454378083752,5.532867986276987,5.249713775362337,1497.4140553666712,True,959522ff
