rank,a_nm,h_spine_nm,spine_full_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,wl_lo_nm,wl_hi_nm,wl_center_nm
1,394.0,216.7,433.4,190.7,202.5,224.2,289.6,0.0,6,61.82,5.64,1538.5,1600.2,1569.3
2,391.0,215.1,430.1,189.2,201.0,222.5,287.4,0.0,6,61.35,5.64,1526.8,1588.0,1557.4
3,389.0,214.0,427.9,188.3,199.9,221.3,285.9,0.0,6,61.04,5.64,1519.0,1579.9,1549.4
4,380.0,209.0,418.0,183.8,195.5,216.2,279.2,0.0,6,59.62,5.64,1483.8,1543.3,1513.5
5,380.0,209.0,418.0,177.7,195.5,209.0,279.2,0.0,6,59.49,5.62,1480.5,1539.9,1510.2
6,380.0,209.0,418.0,171.5,218.1,201.8,256.6,0.0,6,58.14,5.49,1472.5,1529.0,1500.8
7,380.0,209.0,418.0,214.0,268.3,186.0,206.4,0.0,6,57.99,5.6,1483.8,1539.9,1511.8
8,380.0,209.0,418.0,180.0,195.5,180.0,279.2,0.0,6,57.99,5.51,1471.9,1528.1,1500.0
9,380.0,209.0,418.0,186.7,195.5,186.7,279.2,0.0,6,57.97,5.53,1474.2,1530.4,1502.3
10,380.0,209.0,418.0,193.3,195.5,193.3,279.2,0.0,6,57.94,5.56,1478.3,1534.4,1506.4
11,380.0,209.0,418.0,200.0,195.5,200.0,279.2,0.0,6,57.78,5.66,1487.8,1543.6,1515.7
12,380.0,209.0,418.0,206.8,268.3,179.8,206.4,0.0,6,57.68,5.6,1481.4,1537.4,1509.4
13,380.0,209.0,418.0,214.0,253.9,186.0,220.8,0.0,6,57.13,5.61,1481.6,1537.4,1509.5
14,380.0,209.0,418.0,214.0,195.5,186.0,279.2,0.0,6,57.11,5.65,1484.4,1540.0,1512.2
15,380.0,209.0,418.0,206.8,195.5,179.8,279.2,0.0,6,56.95,5.64,1481.9,1537.5,1509.7
16,380.0,209.0,418.0,183.8,218.1,216.2,256.6,0.0,6,56.88,5.66,1483.9,1539.5,1511.7
17,380.0,209.0,418.0,180.0,268.3,180.0,206.4,0.0,6,56.83,5.53,1469.5,1525.3,1497.4
