rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
1,380.0,0.55,0.47368421052631576,0.6245614035087719,0.47368421052631576,0.6245614035087719,0.0,209.00000000000003,180.0,237.33333333333331,180.0,237.33333333333331,0.0,6,55.779442983417766,5.554980692718284,5.251897108040707,1494.766742688047,True,70eba95b
2,380.0,0.55,0.49122807017543857,0.6245614035087719,0.49122807017543857,0.6245614035087719,0.0,209.00000000000003,186.66666666666666,237.33333333333331,186.66666666666666,237.33333333333331,0.0,6,55.75505644588611,5.576110445958482,5.299935145713167,1497.1127945099452,True,0aa078c7
3,380.0,0.55,0.5087719298245614,0.6245614035087719,0.5087719298245614,0.6245614035087719,0.0,209.00000000000003,193.33333333333334,237.33333333333331,193.33333333333334,237.33333333333331,0.0,6,55.67887562859573,5.616818875126172,5.401460682199919,1501.269461353606,True,536dfbdf
4,380.0,0.55,0.5263157894736842,0.6245614035087719,0.5263157894736842,0.6245614035087719,0.0,209.00000000000003,200.0,237.33333333333331,200.0,237.33333333333331,0.0,6,55.39021835702442,5.724201536363118,5.577845180527415,1510.8215882982222,True,fbe7c1aa
5,380.0,0.4543859649122807,0.47368421052631576,0.7,0.47368421052631576,0.7,0.0,172.66666666666669,180.0,266.0,180.0,266.0,0.0,6,48.87961946314749,5.883451278856909,5.743554627061528,1486.5423489481527,True,70286c72
6,380.0,0.4543859649122807,0.49122807017543857,0.7,0.49122807017543857,0.7,0.0,172.66666666666669,186.66666666666666,266.0,186.66666666666666,266.0,0.0,6,48.788575971105274,5.914963443982045,5.783576613679374,1488.8301193645943,True,515d812a
7,380.0,0.4543859649122807,0.5087719298245614,0.7,0.5087719298245614,0.7,0.0,172.66666666666669,193.33333333333334,266.0,193.33333333333334,266.0,0.0,6,48.5757690830676,5.977670683816252,5.8628259587566784,1492.925454101156,True,7d547fbb
8,380.0,0.4543859649122807,0.5263157894736842,0.7,0.5263157894736842,0.7,0.0,172.66666666666669,200.0,266.0,200.0,266.0,0.0,6,47.96274105070165,6.145737239114657,6.010404443040949,1502.426866274226,True,1a76241e
9,380.0,0.55,0.47368421052631576,0.7,0.47368421052631576,0.7,0.0,209.00000000000003,180.0,266.0,180.0,266.0,0.0,6,45.51916485999595,6.141919132634721,6.016755583138557,1526.9361122903165,True,2bbdec6d
10,380.0,0.55,0.49122807017543857,0.7,0.49122807017543857,0.7,0.0,209.00000000000003,186.66666666666666,266.0,186.66666666666666,266.0,0.0,6,44.439569134750855,6.179069096276096,6.058659499286877,1529.3932807786098,True,bf5bd07a
